Sum of row,correct_ind,,,,
loser,coorect normal,correct bad churn,"normal, predict - 5","predict 0, actual - 5",Grand Total
1,419,1594,125,,2138
2,489,888,94,,1471
3,336,459,76,,871
4,446,1261,91,18,1816
6,303,1360,41,,1704
Grand Total,1993,5562,427,18,8000
